ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.4,234.8,26.0,17.9,2.0,bawang_merah,60,9.869,low,DAERAH ISTIMEWA YOGYAKARTA,2021,nasa_power,seasonal_estimate,29808.66,3020.39
0.4,200.7,26.5,18.1,2.0,bawang_merah,60,9.334,low,JAWA TIMUR,2021,nasa_power,seasonal_estimate,500992.14,53671.44
0.4,254.3,25.6,16.8,2.0,bawang_merah,60,3.329,high,BANTEN,2021,nasa_power,seasonal_estimate,1189.58,357.36
0.4,195.3,25.2,19.5,2.0,bawang_merah,60,16.802,low,BALI,2021,nasa_power,seasonal_estimate,23215.15,1381.65
0.38,151.8,26.2,19.9,2.0,bawang_merah,60,10.959,low,NUSA TENGGARA BARAT,2021,nasa_power,seasonal_estimate,222619.74,20314.09
0.38,245.2,26.6,20.2,2.0,bawang_merah,60,7.17,medium,NUSA TENGGARA TIMUR,2021,nasa_power,seasonal_estimate,11429.98,1594.15
0.38,336.7,25.8,17.6,2.0,bawang_merah,60,1.903,high,KALIMANTAN BARAT,2021,nasa_power,seasonal_estimate,103.7,54.48
0.38,256.6,26.8,17.7,2.0,bawang_merah,60,1.449,high,KALIMANTAN TENGAH,2021,nasa_power,seasonal_estimate,34.13,23.55
0.38,269.6,26.4,16.4,2.0,bawang_merah,60,5.334,high,KALIMANTAN SELATAN,2021,nasa_power,seasonal_estimate,388.58,72.85
0.38,226.2,25.7,17.4,2.0,bawang_merah,60,2.255,high,KALIMANTAN TIMUR,2021,nasa_power,seasonal_estimate,72.35,32.09
0.38,243.4,23.2,18.0,2.0,bawang_merah,60,3.103,high,KALIMANTAN UTARA,2021,nasa_power,seasonal_estimate,87.5,28.2
0.38,217.0,24.5,18.4,2.0,bawang_merah,60,7.374,medium,SULAWESI UTARA,2021,nasa_power,seasonal_estimate,4985.98,676.2
0.38,208.8,21.7,16.9,2.0,bawang_merah,60,5.328,high,SULAWESI TENGAH,2021,nasa_power,seasonal_estimate,4651.65,873.04
0.38,295.7,22.9,18.5,2.0,bawang_merah,60,10.566,low,SULAWESI SELATAN,2021,nasa_power,seasonal_estimate,183209.55,17339.85
0.38,232.4,26.4,17.1,2.0,bawang_merah,60,3.823,high,SULAWESI TENGGARA,2021,nasa_power,seasonal_estimate,1015.26,265.59
0.38,235.8,25.9,18.4,2.0,bawang_merah,60,4.744,high,GORONTALO,2021,nasa_power,seasonal_estimate,346.3,73.0
0.38,258.8,20.6,17.1,2.0,bawang_merah,60,1.428,high,SULAWESI BARAT,2021,nasa_power,seasonal_estimate,693.11,485.41
0.38,226.2,26.8,16.6,2.0,bawang_merah,60,4.529,high,MALUKU,2021,nasa_power,seasonal_estimate,1012.55,223.55
0.38,246.2,27.0,18.0,2.0,bawang_merah,60,5.934,high,MALUKU UTARA,2021,nasa_power,seasonal_estimate,1231.37,207.5
0.38,293.4,23.4,16.8,2.0,bawang_merah,60,2.577,high,PAPUA BARAT,2021,nasa_power,seasonal_estimate,118.46,45.96
0.38,217.9,23.2,16.2,2.0,bawang_merah,60,5.418,high,PAPUA,2021,nasa_power,seasonal_estimate,303.78,56.07
0.38,270.2,19.5,16.7,2.0,bawang_merah,60,8.148,medium,ACEH,2022,nasa_power,seasonal_estimate,10070.34,1236.0
0.38,357.1,21.8,17.1,2.0,bawang_merah,60,15.26,low,SUMATERA UTARA,2022,nasa_power,seasonal_estimate,64834.92,4248.77
0.38,367.9,23.3,17.2,2.0,bawang_merah,60,14.777,low,SUMATERA BARAT,2022,nasa_power,seasonal_estimate,207375.83,14033.36
0.38,271.9,26.1,17.4,2.0,bawang_merah,60,5.712,high,RIAU,2022,nasa_power,seasonal_estimate,195.31,34.19
0.38,239.1,26.0,16.4,2.0,bawang_merah,60,7.552,medium,JAMBI,2022,nasa_power,seasonal_estimate,16050.19,2125.3
0.38,263.3,26.0,17.6,2.0,bawang_merah,60,6.281,high,SUMATERA SELATAN,2022,nasa_power,seasonal_estimate,1129.89,179.9
0.38,359.4,25.8,17.0,2.0,bawang_merah,60,10.909,low,BENGKULU,2022,nasa_power,seasonal_estimate,1023.28,93.8
0.38,174.9,26.7,16.5,2.0,bawang_merah,60,7.363,medium,LAMPUNG,2022,nasa_power,seasonal_estimate,1726.66,234.5
0.38,239.3,27.3,16.2,2.0,bawang_merah,60,5.013,high,KEPULAUAN BANGKA BELITUNG,2022,nasa_power,seasonal_estimate,78.71,15.7
0.38,186.3,28.0,17.1,2.0,bawang_merah,60,5.716,high,KEPULAUAN RIAU,2022,nasa_power,seasonal_estimate,41.44,7.25
0.4,193.0,27.3,16.0,2.0,bawang_merah,60,2.06,high,DAERAH KHUSUS IBUKOTA JAKARTA,2022,nasa_power,seasonal_estimate,1.38,0.67
0.4,281.0,21.5,16.8,2.0,bawang_merah,60,11.117,low,JAWA BARAT,2022,nasa_power,seasonal_estimate,193318.33,17389.74
0.4,212.1,25.8,17.1,2.0,bawang_merah,60,10.384,low,JAWA TENGAH,2022,nasa_power,seasonal_estimate,556509.8,53593.4
0.4,221.5,25.9,17.1,2.0,bawang_merah,60,9.144,low,DAERAH ISTIMEWA YOGYAKARTA,2022,nasa_power,seasonal_estimate,22306.6,2439.48
0.4,207.3,26.0,17.4,2.0,bawang_merah,60,9.27,low,JAWA TIMUR,2022,nasa_power,seasonal_estimate,478393.29,51607.17
0.4,217.7,25.5,16.0,2.0,bawang_merah,60,6.797,medium,BANTEN,2022,nasa_power,seasonal_estimate,1372.39,201.9
0.38,129.0,26.3,19.8,2.0,bawang_merah,60,10.733,low,NUSA TENGGARA BARAT,2022,nasa_power,seasonal_estimate,201155.22,18741.98
0.38,184.0,26.6,20.0,2.0,bawang_merah,60,5.09,high,NUSA TENGGARA TIMUR,2022,nasa_power,seasonal_estimate,7584.47,1490.01
0.38,348.0,25.9,17.4,2.0,bawang_merah,60,1.691,high,KALIMANTAN BARAT,2022,nasa_power,seasonal_estimate,44.04,26.05
0.38,279.2,26.8,17.4,2.0,bawang_merah,60,4.487,high,KALIMANTAN TENGAH,2022,nasa_power,seasonal_estimate,111.81,24.92
0.38,280.3,26.6,16.4,2.0,bawang_merah,60,5.267,high,KALIMANTAN SELATAN,2022,nasa_power,seasonal_estimate,245.97,46.7
0.38,241.5,25.7,17.3,2.0,bawang_merah,60,4.625,high,KALIMANTAN TIMUR,2022,nasa_power,seasonal_estimate,114.46,24.75
0.38,249.2,23.1,17.6,2.0,bawang_merah,60,2.823,high,KALIMANTAN UTARA,2022,nasa_power,seasonal_estimate,7.34,2.6
0.38,209.3,24.5,18.2,2.0,bawang_merah,60,6.788,medium,SULAWESI UTARA,2022,nasa_power,seasonal_estimate,5019.63,739.5
0.38,219.4,21.7,16.9,2.0,bawang_merah,60,4.686,high,SULAWESI TENGAH,2022,nasa_power,seasonal_estimate,3453.99,737.02
0.38,307.4,23.0,18.4,2.0,bawang_merah,60,13.396,low,SULAWESI SELATAN,2022,nasa_power,seasonal_estimate,175159.91,13075.37
0.38,223.7,26.5,17.4,2.0,bawang_merah,60,3.655,high,SULAWESI TENGGARA,2022,nasa_power,seasonal_estimate,449.32,122.93
0.38,236.4,26.0,18.2,2.0,bawang_merah,60,4.466,high,GORONTALO,2022,nasa_power,seasonal_estimate,417.6,93.5
0.38,269.0,20.5,16.8,2.0,bawang_merah,60,1.269,high,SULAWESI BARAT,2022,nasa_power,seasonal_estimate,748.12,589.7
0.38,258.4,26.9,16.9,2.0,bawang_merah,60,3.75,high,MALUKU,2022,nasa_power,seasonal_estimate,759.34,202.5
0.38,238.7,27.1,17.7,2.0,bawang_merah,60,3.201,high,MALUKU UTARA,2022,nasa_power,seasonal_estimate,804.68,251.36
0.38,278.7,23.5,17.1,2.0,bawang_merah,60,1.444,high,PAPUA BARAT,2022,nasa_power,seasonal_estimate,77.55,53.71
0.38,195.1,23.3,16.2,2.0,bawang_merah,60,6.853,medium,PAPUA,2022,nasa_power,seasonal_estimate,286.04,41.74
0.38,250.7,20.1,16.8,2.0,bawang_merah,60,9.274,low,ACEH,2023,nasa_power,seasonal_estimate,13672.62,1474.24
0.38,324.9,22.4,16.8,2.0,bawang_merah,60,15.265,low,SUMATERA UTARA,2023,nasa_power,seasonal_estimate,65585.18,4296.41
0.38,285.3,23.8,16.4,2.0,bawang_merah,60,15.163,low,SUMATERA BARAT,2023,nasa_power,seasonal_estimate,233917.27,15426.62
0.38,273.7,26.5,16.7,2.0,bawang_merah,60,4.376,high,RIAU,2023,nasa_power,seasonal_estimate,322.74,73.76
0.38,199.2,26.5,16.1,2.0,bawang_merah,60,8.647,low,JAMBI,2023,nasa_power,seasonal_estimate,18401.31,2127.95
0.38,174.1,26.4,17.5,2.0,bawang_merah,60,7.276,medium,SUMATERA SELATAN,2023,nasa_power,seasonal_estimate,1197.02,164.51
0.38,185.0,26.0,16.8,2.0,bawang_merah,60,6.937,medium,BENGKULU,2023,nasa_power,seasonal_estimate,670.6,96.67
0.38,150.9,27.4,17.3,2.0,bawang_merah,60,7.299,medium,LAMPUNG,2023,nasa_power,seasonal_estimate,2192.97,300.45
0.38,152.6,27.9,17.6,2.0,bawang_merah,60,5.433,high,KEPULAUAN BANGKA BELITUNG,2023,nasa_power,seasonal_estimate,175.71,32.34
0.38,148.6,28.3,17.7,2.0,bawang_merah,60,2.878,high,KEPULAUAN RIAU,2023,nasa_power,seasonal_estimate,16.98,5.9
0.4,133.5,27.8,17.5,2.0,bawang_merah,60,3.5,high,DAERAH KHUSUS IBUKOTA JAKARTA,2023,nasa_power,seasonal_estimate,0.28,0.08
0.4,186.4,21.8,18.5,2.0,bawang_merah,60,11.203,low,JAWA BARAT,2023,nasa_power,seasonal_estimate,179355.38,16010.28
0.4,140.0,26.4,18.9,2.0,bawang_merah,60,10.238,low,JAWA TENGAH,2023,nasa_power,seasonal_estimate,479090.87,46795.1
0.4,152.8,25.9,18.9,2.0,bawang_merah,60,11.06,low,DAERAH ISTIMEWA YOGYAKARTA,2023,nasa_power,seasonal_estimate,32952.57,2979.57
0.4,195.6,27.1,19.3,2.0,bawang_merah,60,9.5,low,JAWA TIMUR,2023,nasa_power,seasonal_estimate,484669.46,51015.62
0.4,149.0,26.0,17.5,2.0,bawang_merah,60,6.589,medium,BANTEN,2023,nasa_power,seasonal_estimate,860.02,130.53
0.38,91.3,26.6,21.2,2.0,bawang_merah,60,11.172,low,NUSA TENGGARA BARAT,2023,nasa_power,seasonal_estimate,212618.32,19030.58
