ndvi,rainfall_mm,temperature_c,solar_radiation,land_area_ha,crop_type,harvest_days,yield_ton_per_ha,risk_level,provinsi,tahun,data_source,ndvi_source,produksi_ton,luas_panen_ha
0.57,292.7,21.5,17.2,2.0,jagung,100,7.206,low,JAWA BARAT,2021,nasa_power,seasonal_estimate,491528.0,68214.0
0.57,227.5,25.8,17.9,2.0,jagung,100,6.256,low,JAWA TENGAH,2021,nasa_power,seasonal_estimate,2128959.0,340315.0
0.57,234.8,26.0,17.9,2.0,jagung,100,5.135,low,DAERAH ISTIMEWA YOGYAKARTA,2021,nasa_power,seasonal_estimate,197155.0,38391.0
0.57,200.7,26.5,18.1,2.0,jagung,100,5.806,low,JAWA TIMUR,2021,nasa_power,seasonal_estimate,3991492.0,687503.0
0.57,254.3,25.6,16.8,2.0,jagung,100,6.827,low,BANTEN,2021,nasa_power,seasonal_estimate,9394.0,1376.0
0.57,195.3,25.2,19.5,2.0,jagung,100,4.891,low,BALI,2021,nasa_power,seasonal_estimate,50118.0,10246.0
0.52,151.8,26.2,19.9,2.0,jagung,100,6.492,low,NUSA TENGGARA BARAT,2021,nasa_power,seasonal_estimate,1019225.0,156986.0
0.52,245.2,26.6,20.2,2.0,jagung,100,2.562,high,NUSA TENGGARA TIMUR,2021,nasa_power,seasonal_estimate,285345.0,111362.0
0.52,336.7,25.8,17.6,2.0,jagung,100,4.963,low,KALIMANTAN BARAT,2021,nasa_power,seasonal_estimate,44252.0,8916.0
0.52,256.6,26.8,17.7,2.0,jagung,100,5.376,low,KALIMANTAN TENGAH,2021,nasa_power,seasonal_estimate,35440.0,6592.0
0.52,269.6,26.4,16.4,2.0,jagung,100,5.798,low,KALIMANTAN SELATAN,2021,nasa_power,seasonal_estimate,135326.0,23340.0
0.52,226.2,25.7,17.4,2.0,jagung,100,5.762,low,KALIMANTAN TIMUR,2021,nasa_power,seasonal_estimate,14555.0,2526.0
0.52,243.4,23.2,18.0,2.0,jagung,100,5.133,low,KALIMANTAN UTARA,2021,nasa_power,seasonal_estimate,385.0,75.0
